Individual;Replicate;Treatment;Time_fad;Event_fad;Time_mort;Event_mort
IA2;1;A+;10;1;14;1
IA4;1;A+;4;1;6;1
IA5;1;A+;10;1;14;1
IA6;1;A+;6;1;6;1
IA7;1;A-;5;1;10;1
IA8;1;A-;5;1;7;1
IA9;1;A-;6;1;9;1
IA10;1;A-;7;1;10;1
IA11;1;A-;7;1;10;1
IA12;1;A-;5;1;8;1
IA13;1;A-;4;1;8;1
IA14;1;A-;4;1;8;1
IA15;1;A-;5;1;6;1
IA16;1;A-;6;1;9;1
IA18;1;A-;5;1;9;1
IA19;1;A-;8;1;11;1
IA20;1;A-;5;1;10;1
IA21;1;A-;5;1;10;1
IA22;1;A-;5;1;10;1
IA23;1;A-;4;1;10;1
IA24;1;A-;5;1;10;1
IA25;1;A+;9;1;13;1
IA28;1;A+;5;1;10;1
IA29;1;A+;7;1;10;1
IA30;1;A+;7;1;11;1
IA32;1;A-;5;1;8;1
IA33;1;A-;7;1;11;1
IA34;1;A-;5;1;8;1
IA35;1;A-;7;1;11;1
IA36;1;A-;7;1;11;1
IA38;1;A+;6;1;9;1
IA39;1;A+;6;1;9;1
IA40;1;A+;9;1;11;1
IA42;1;A+;6;1;9;1
IB1;1;B-;9;1;12;1
IB2;1;B-;9;1;12;1
IB4;1;B-;7;1;12;1
IB6;1;B-;6;1;9;1
IB7;1;B+;6;1;8;1
IB8;1;B+;8;1;13;1
IB9;1;B+;8;1;11;1
IB12;1;B+;5;1;14;1
IB13;1;B-;6;1;11;1
IB14;1;B-;6;1;11;1
IB15;1;B-;7;1;9;1
IB16;1;B-;8;1;13;1
IB17;1;B-;7;1;11;1
IB18;1;B-;7;1;11;1
IB19;1;B-;7;1;10;1
IB20;1;B-;4;1;8;1
IB21;1;B-;7;1;10;1
IB22;1;B-;8;1;14;1
IB24;1;B-;5;1;8;1
IB25;1;B+;7;1;9;1
IB27;1;B+;8;1;12;1
IB28;1;B+;5;1;8;1
IB29;1;B+;6;1;9;1
IB30;1;B+;10;1;16;1
IB31;1;B+;9;1;11;1
IB32;1;B+;5;1;8;1
IB33;1;B+;5;1;8;1
IB34;1;B+;8;1;11;1
IB35;1;B+;7;1;11;1
IB38;1;B-;9;1;11;1
IB39;1;B-;9;1;11;1
IB40;1;B-;5;1;7;1
IB41;1;B-;5;1;6;1
IB42;1;B-;4;1;6;1
IC1;1;C-;7;1;9;1
IC2;1;C-;8;1;14;1
IC3;1;C-;8;1;11;1
IC5;1;C-;5;1;9;1
IC6;1;C-;5;1;9;1
IC7;1;C-;6;1;8;1
IC8;1;C-;5;1;8;1
IC11;1;C-;7;1;10;1
IC12;1;C-;6;1;10;1
IC13;1;C+;6;1;9;1
IC14;1;C+;11;1;16;1
IC15;1;C+;7;1;9;1
IC16;1;C+;6;1;11;1
IC17;1;C+;11;1;16;1
IC18;1;C+;11;1;16;1
IC19;1;C+;5;1;8;1
IC20;1;C+;6;1;9;1
IC21;1;C+;12;1;18;1
IC23;1;C+;12;1;16;1
IC24;1;C+;9;1;11;1
IC25;1;C-;8;1;11;1
IC27;1;C-;7;1;11;1
IC28;1;C-;6;1;7;1
IC29;1;C-;7;1;10;1
IC30;1;C-;8;1;11;1
IC31;1;C+;5;1;8;1
IC32;1;C+;5;1;7;1
IC33;1;C+;11;1;16;1
IC34;1;C+;9;1;15;1
IC35;1;C+;5;1;8;1
IC36;1;C+;5;1;8;1
IC38;1;C-;6;1;8;1
IC39;1;C-;6;1;10;1
IC40;1;C-;12;1;15;1
IC41;1;C-;7;1;10;1
IC42;1;C-;12;1;17;1
ID1;1;D;15;1;18;0
ID3;1;D;10;1;16;1
ID4;1;D;6;1;9;1
ID5;1;D;9;1;12;1
ID6;1;D;7;1;11;1
ID7;1;D;7;1;10;1
ID8;1;D;6;1;9;1
ID9;1;D;4;1;7;1
ID10;1;D;5;1;8;1
ID12;1;D;8;1;10;1
ID13;1;D;6;1;9;1
ID14;1;D;11;1;16;1
ID15;1;D;6;1;10;1
ID17;1;D;5;1;10;1
ID18;1;D;4;1;7;1
ID19;1;D;6;1;10;1
ID20;1;D;14;1;18;1
ID21;1;D;15;1;18;1
ID23;1;D;6;1;8;1
ID24;1;D;15;1;18;0
ID25;1;D;7;1;10;1
ID26;1;D;8;1;15;1
ID27;1;D;8;1;11;1
ID29;1;D;5;1;8;1
ID30;1;D;4;1;8;1
ID31;1;D;6;1;9;1
ID33;1;D;6;1;8;1
ID34;1;D;4;1;6;1
ID35;1;D;16;1;18;0
ID36;1;D;18;0;18;0
ID37;1;D;11;1;17;1
ID39;1;D;6;1;8;1
ID40;1;D;8;1;10;1
ID41;1;D;5;1;7;1
ID42;1;D;5;1;7;1
IE1;1;D;3;1;5;1
IE2;1;D;13;1;15;1
IE3;1;D;17;1;18;0
IE4;1;D;10;1;14;1
IE5;1;D;8;1;15;1
IE7;1;D;18;0;18;0
IE8;1;D;4;1;8;1
IE10;1;D;4;1;7;1
IE11;1;D;5;1;8;1
IE12;1;D;11;1;16;1
IE13;1;D;4;1;9;1
IE14;1;D;4;1;7;1
IE16;1;D;4;1;9;1
IE17;1;D;8;1;15;1
IE19;1;D;6;1;15;1
IE21;1;D;4;1;7;1
IE22;1;D;3;1;8;1
IE23;1;D;10;1;16;1
IE24;1;D;3;1;8;1
IE25;1;D;10;1;12;1
IE26;1;D;3;1;7;1
IE27;1;D;4;1;8;1
IE28;1;D;4;1;7;1
IE29;1;D;4;1;8;1
IE32;1;D;14;1;18;1
IE33;1;D;3;1;5;1
IE34;1;D;13;1;18;1
IE35;1;D;10;1;14;1
IE36;1;D;14;1;16;1
IE38;1;D;10;1;14;1
IE39;1;D;18;0;18;0
IE40;1;D;18;0;18;0
IE41;1;D;18;0;18;0
IF1;1;D;8;1;15;1
IF2;1;D;11;1;15;1
IF3;1;D;6;1;9;1
IF4;1;D;8;1;14;1
IF5;1;D;4;1;8;1
IF6;1;D;15;1;18;0
IF7;1;D;4;1;8;1
IF8;1;D;6;1;8;1
IF9;1;D;10;1;12;1
IF10;1;D;3;1;8;1
IF11;1;D;5;1;8;1
IF12;1;D;5;1;8;1
IF13;1;D;5;1;9;1
IF14;1;D;5;1;9;1
IF15;1;D;4;1;8;1
IF16;1;D;3;1;7;1
IF18;1;D;5;1;6;1
IF19;1;D;3;1;7;1
IF20;1;D;4;1;6;1
IF24;1;D;6;1;8;1
IF26;1;D;3;1;8;1
IF27;1;D;4;1;8;1
IF30;1;D;14;1;17;1
IF31;1;D;11;1;15;1
IF34;1;D;16;1;18;0
IF35;1;D;4;1;6;1
IF36;1;D;13;1;18;1
IF37;1;D;6;1;8;1
IF39;1;D;4;1;6;1
IF40;1;D;4;1;7;1
IF41;1;D;4;1;6;1
IF42;1;D;4;1;7;1
IG1;1;D;6;1;8;1
IG2;1;D;18;0;18;0
IG3;1;D;6;1;9;1
IG4;1;D;6;1;7;1
IG5;1;D;5;1;9;1
IG6;1;D;6;1;9;1
IG9;1;D;6;1;11;1
IG10;1;D;6;1;10;1
IG12;1;D;7;1;14;1
IG13;1;D;5;1;8;1
IG14;1;D;6;1;8;1
IG15;1;D;4;1;7;1
IG16;1;D;9;1;14;1
IG17;1;D;5;1;9;1
IG18;1;D;7;1;10;1
IG19;1;D;10;1;15;1
IG20;1;D;6;1;8;1
IG23;1;D;4;1;6;1
IG24;1;D;3;1;6;1
IG25;1;D;4;1;5;1
IG27;1;D;10;1;15;1
IG28;1;D;5;1;7;1
IG29;1;D;7;1;12;1
IG30;1;D;11;1;15;1
IG31;1;D;5;1;8;1
IG32;1;D;10;1;13;1
IG33;1;D;15;1;18;1
IG34;1;D;5;1;9;1
IG35;1;D;3;1;5;1
IG36;1;D;6;1;9;1
IG38;1;D;7;1;9;1
IG40;1;D;4;1;7;1
IG41;1;D;18;0;18;0
IIA1;2;A+;11;1;15;1
IIA2;2;A+;6;1;14;1
IIA3;2;A+;11;1;15;1
IIA4;2;A+;4;1;11;1
IIA5;2;A+;12;1;16;1
IIA6;2;A+;12;1;16;0
IIA7;2;A-;8;1;13;1
IIA8;2;A-;4;1;10;1
IIA9;2;A-;8;1;16;1
IIA10;2;A-;8;1;16;0
IIA11;2;A-;4;1;10;1
IIA12;2;A-;7;1;16;1
IIA13;2;A+;6;1;12;1
IIA14;2;A+;6;1;11;1
IIA15;2;A+;5;1;11;1
IIA16;2;A+;6;1;13;1
IIA17;2;A+;6;1;11;1
IIA18;2;A+;4;1;7;1
IIA19;2;A-;9;1;14;1
IIA20;2;A-;7;1;10;1
IIA21;2;A-;10;1;12;1
IIA22;2;A-;10;1;13;1
IIA24;2;A-;8;1;14;1
IIA25;2;A+;5;1;9;1
IIA26;2;A+;5;1;11;1
IIA27;2;A+;5;1;8;1
IIA28;2;A+;5;1;11;1
IIA29;2;A+;5;1;10;1
IIA30;2;A+;5;1;11;1
IIA31;2;A-;7;1;12;1
IIA32;2;A-;6;1;11;1
IIA33;2;A-;7;1;10;1
IIA34;2;A-;5;1;12;1
IIA35;2;A-;5;1;11;1
IIA36;2;A-;7;1;12;1
IIA37;2;A+;11;1;15;1
IIA38;2;A+;11;1;13;1
IIA39;2;A+;12;1;16;1
IIA40;2;A+;6;1;12;1
IIA41;2;A+;9;1;13;1
IIA42;2;A+;4;1;11;1
IIA43;2;A-;7;1;16;1
IIA44;2;A-;6;1;10;1
IIA45;2;A-;7;1;15;1
IIA46;2;A-;7;1;13;1
IIA47;2;A-;7;1;12;1
IIA48;2;A-;6;1;13;1
IIA50;2;A+;6;1;12;1
IIA51;2;A+;7;1;14;1
IIA52;2;A+;6;1;13;1
IIA53;2;A+;6;1;12;1
IIA54;2;A+;11;1;16;1
IIA55;2;A-;9;1;15;1
IIA56;2;A-;9;1;14;1
IIA57;2;A-;4;1;6;1
IIA58;2;A-;5;1;9;1
IIA59;2;A-;7;1;12;1
IIA60;2;A-;4;1;9;1
IIB1;2;B+;8;1;14;1
IIB2;2;B+;9;1;14;1
IIB3;2;B+;8;1;16;1
IIB4;2;B+;6;1;12;1
IIB5;2;B+;4;1;7;1
IIB6;2;B+;6;1;9;1
IIB7;2;B+;9;1;14;1
IIB8;2;B+;7;1;14;1
IIB9;2;B+;8;1;14;1
IIB10;2;B+;9;1;15;1
IIB11;2;B+;7;1;10;1
IIB12;2;B+;7;1;14;1
IIB13;2;B-;4;1;6;1
IIB14;2;B-;4;1;7;1
IIB15;2;B-;12;1;16;1
IIB16;2;B-;12;1;16;1
IIB17;2;B-;11;1;16;1
IIB18;2;B-;11;1;16;1
IIB19;2;B+;11;1;16;1
IIB20;2;B+;10;1;15;1
IIB21;2;B+;8;1;16;1
IIB22;2;B+;9;1;14;1
IIB23;2;B+;8;1;16;1
IIB24;2;B+;10;1;16;0
IIB25;2;B-;10;1;15;1
IIB26;2;B-;6;1;11;1
IIB27;2;B-;9;1;14;1
IIB28;2;B-;9;1;14;1
IIB29;2;B-;8;1;12;1
IIB30;2;B-;6;1;9;1
IIB31;2;B+;14;1;16;0
IIB32;2;B+;10;1;13;1
IIB33;2;B+;13;1;16;0
IIB34;2;B+;9;1;15;1
IIB35;2;B+;14;1;16;0
IIB36;2;B+;14;1;16;0
IIB37;2;B-;8;1;13;1
IIB38;2;B-;9;1;13;1
IIB39;2;B-;8;1;14;1
IIB40;2;B-;9;1;14;1
IIB42;2;B-;8;1;15;1
IIB43;2;B-;8;1;12;1
IIB44;2;B-;9;1;13;1
IIB45;2;B-;9;1;15;1
IIB46;2;B-;9;1;13;1
IIB47;2;B-;9;1;15;1
IIB48;2;B-;4;1;7;1
IIB49;2;B+;7;1;13;1
IIB50;2;B+;14;1;16;0
IIB51;2;B+;13;1;16;0
IIB52;2;B+;14;1;16;0
IIB53;2;B+;14;1;16;0
IIB54;2;B+;14;1;16;0
IIB55;2;B-;9;1;13;1
IIB56;2;B-;7;1;10;1
IIB57;2;B-;9;1;14;1
IIB58;2;B-;9;1;16;1
IIB59;2;B-;8;1;15;1
IIB60;2;B-;7;1;15;1
IID1;2;D;15;1;16;0
IID3;2;D;16;0;16;0
IID4;2;D;15;1;16;0
IID5;2;D;11;1;16;0
IID6;2;D;16;0;16;0
IID7;2;D;16;0;16;0
IID8;2;D;16;0;16;0
IID9;2;D;16;0;16;0
IID10;2;D;16;0;16;0
IID11;2;D;16;0;16;0
IID12;2;D;16;0;16;0
IID13;2;D;16;0;16;0
IID14;2;D;13;1;16;0
IID15;2;D;4;1;11;1
IID16;2;D;12;1;16;0
IID17;2;D;9;1;11;1
IID18;2;D;15;1;16;0
IID19;2;D;16;0;16;0
IID20;2;D;16;0;16;0
IID21;2;D;16;0;16;0
IID22;2;D;5;1;10;1
IID23;2;D;4;1;7;1
IID24;2;D;16;0;16;0
IID25;2;D;16;0;16;0
IID26;2;D;16;0;16;0
IID27;2;D;14;1;16;0
IID28;2;D;16;0;16;0
IID29;2;D;14;1;16;0
IID30;2;D;16;0;16;0
IID31;2;D;15;1;16;0
IID32;2;D;6;1;13;1
IID33;2;D;14;1;16;0
IID34;2;D;5;1;14;1
IID35;2;D;10;1;15;1
IID36;2;D;16;0;16;0
IID38;2;D;14;1;16;0
IID39;2;D;12;1;16;0
IID40;2;D;5;1;6;1
IID41;2;D;5;1;12;1
IID42;2;D;16;0;16;0
IID43;2;D;16;0;16;0
IID44;2;D;16;0;16;0
IID45;2;D;14;1;16;0
IID46;2;D;12;1;16;0
IID47;2;D;16;0;16;0
IID48;2;D;14;1;16;0
IID49;2;D;16;0;16;0
IID50;2;D;16;0;16;0
IID51;2;D;13;1;16;0
IID52;2;D;14;1;16;0
IID53;2;D;13;1;16;0
IID55;2;D;16;0;16;0
IID56;2;D;16;0;16;0
IID57;2;D;13;1;16;0
IID58;2;D;16;0;16;0
IID59;2;D;16;0;16;0
IID60;2;D;12;1;16;1